"muck_org","V1","d0","d1","d2","d3","d4","source","Source","avg_align","followers_count","friends_count","lang","media_handle","media_name","muck_role","muckrack_slug","protected","status_coordinates","status_lang","statuses_count","utc_offset","verified","mean_ideology_following","n_pol_follows","total_articles","dem","rep","lo"
"",10051,-0.00361265024848,-0.00589555969449,-0.00112501793114,-0.0158821759556,0.00677446680958,531637583,"",NA,91,276,"en","","","","",FALSE,"","en",192,"None",FALSE,0.994244951834,6,NA,NA,NA,NA
"",10052,-0.00347768902246,-0.00132980350366,0.000115119657465,-0.00129389307484,0.00163018531466,531736368,"",NA,62,96,"en","","","","",FALSE,"","en",73,"None",FALSE,-0.16739332342,3,NA,NA,NA,NA
"",10053,-0.0133706906385,-0.000128192781255,-0.000805644695781,-0.013529537079,0.00620111859002,53173734,"",NA,38,201,"en","","","","",FALSE,"","en",65,"-14400",FALSE,0.832710840519,4,NA,NA,NA,NA
"",10054,0.009950506562,0.0176592760623,0.0227156480655,0.003361571207,0.0129332772638,53187185,"",NA,200,1259,"en","","","","",FALSE,"","en",2400,"-18000",FALSE,-0.225590389584,10,NA,NA,NA,NA
"",10055,-0.0172544935989,-0.00180892830913,0.00066720873237,-0.01705813132,0.00871238964546,531894002,"",NA,23,164,"en","","","","",FALSE,"","en",11,"-14400",FALSE,0.916254074076,4,NA,NA,NA,NA
"",10056,0.00512815907045,0.00176705734957,0.0161308251079,-0.00228381604232,0.0138025826144,532453719,"",NA,711,2387,"en","","","","",FALSE,"","und",192,"-14400",FALSE,0.374781250226,5,NA,NA,NA,NA
"",10057,-0.00335399468533,-0.01109062372,-0.0013911456264,0.00426427489894,0.00453014034781,532478487,"",NA,59,184,"en","","","","",FALSE,"","en",210,"-18000",FALSE,-1.69612466601,3,NA,NA,NA,NA
"",10058,0.00418838861012,-0.0105820138176,-0.00309155621221,-0.0252342989024,0.00930421949477,532489513,"",NA,92,287,"en","","","","",FALSE,"","und",48,"None",FALSE,0.942770756741,6,NA,NA,NA,NA
"",10059,-0.00584324578785,-0.00903360454363,0.00146733378202,0.00308292759135,0.00352272150409,532564938,"",NA,144,292,"en","","","","",FALSE,"","en",1949,"-21600",FALSE,-1.57171133061,4,NA,NA,NA,NA
"",10060,0.000571138832347,-0.0014228493005,0.00132325053082,-0.0214474139872,0.0106803527009,532761228,"",NA,138,477,"en","","","","",FALSE,"","en",283,"None",FALSE,0.916254074076,4,NA,NA,NA,NA
